sex,age,place,weather,recenum,horsenum,odds,popularity,result,jockey,weight,dirt,distance,track,time,farlong,bweight,incdec
1,2,30,4,11,4,3.7,2,1,5411,55,2,1700,1,109.2,38.5,466,-2
1,2,30,4,11,5,3.9,3,2,5091,56,2,1700,1,109.2,37.9,434,-6
1,2,30,4,11,2,3.1,1,3,5286,55,2,1700,1,109.8,39,458,2
1,2,30,4,11,8,8.1,4,4,5545,55,2,1700,1,109.9,39.2,450,-2
1,2,30,4,11,11,18.8,6,5,5502,54,2,1700,1,110,37.7,442,-2
1,2,30,4,11,3,9.2,5,6,5299,55,2,1700,1,110,39.7,452,-8
1,2,30,4,11,1,39.5,9,7,5074,54,2,1700,1,110,37.7,420,-4
1,2,30,4,11,9,23.5,7,8,5592,54,2,1700,1,110.3,39.3,454,-2
1,2,30,4,11,10,24.2,8,9,5534,54,2,1700,1,110.3,39.3,434,-2
1,2,30,4,11,6,171.4,11,10,0,54,2,1700,1,111.1,40.4,468,-2
1,2,30,4,11,7,92.1,10,11,5492,54,2,1700,1,113.6,43.1,468,-4
1,2,30,3,12,5,1.4,1,1,5091,56,2,1700,1,107.9,39.2,492,-6
1,2,30,3,12,4,14.2,5,2,5502,55,2,1700,1,107.9,39.4,426,-10
1,2,30,3,12,8,17.7,6,3,5492,54,2,1700,1,108.6,39,494,0
1,2,30,3,12,2,12.6,4,4,5089,54,2,1700,1,109.2,40.1,468,0
1,2,30,3,12,7,36.9,8,5,5512,54,2,1700,1,109.8,39.9,414,-10
1,2,30,3,12,6,5.9,2,6,5411,54,2,1700,1,110.3,41.6,504,0
1,2,30,3,12,3,32.3,7,7,5592,54,2,1700,1,110.4,41.9,496,6
1,2,30,3,12,1,6.9,3,8,5286,55,2,1700,1,110.5,40.3,496,6
1,2,30,3,12,6,1.7,1,1,5091,55,2,1700,1,108.2,39.1,494,-4
1,2,30,3,12,4,6.7,4,2,5578,55,2,1700,1,108.9,39.7,474,-2
1,2,30,3,12,3,27.5,6,3,5492,54,2,1700,1,109.2,39.4,452,-4
1,2,30,3,12,8,5.2,3,4,5534,55,2,1700,1,109.3,40.1,478,10
1,2,30,3,12,2,23.8,5,5,5592,54,2,1700,1,112.1,42.9,474,-8
1,2,30,3,12,7,3.9,2,6,5411,54,2,1700,1,112.5,43.5,456,0
1,2,30,3,12,5,94.7,7,7,0,54,2,1700,1,112.7,41.1,422,-6
1,2,30,3,12,1,149.4,8,8,5502,54,2,1700,1,115.1,46,454,4
