,horse_id,sex,age,dateforda,track,weather,race_num,horse_num_anim,horse_num,popularity,order,jockey,weight,dirt_grass,distance,condition,time,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
0,36.105047,2,7,85,44,6,11,10,1,10,0,6658.66,57,2,20,4,0,1,0,0,0,1,0,0,0
0,39.101623,3,4,85,44,6,11,10,2,5,0,106.66,57,2,20,4,0,1,0,0,0,1,0,0,0
0,37.10101,3,6,85,44,6,11,10,3,2,0,111.26,57,2,20,4,0,1,0,0,0,1,0,0,0
0,36.100349,3,7,85,44,6,11,10,4,7,0,111.16,57,2,20,4,0,1,0,0,0,1,0,0,0
0,39.102383,3,4,85,44,6,11,10,5,3,0,110.88,57,2,20,4,0,1,0,0,0,1,0,0,0
0,40.101929,3,3,85,44,6,11,10,6,8,0,153.52,55,2,20,4,0,1,0,0,0,1,0,0,0
0,37.106404,3,6,85,44,6,11,10,7,1,0,11.15,57,2,20,4,0,1,0,0,0,1,0,0,0
0,39.103502,3,4,85,44,6,11,10,8,9,0,152.3,57,2,20,4,0,1,0,0,0,1,0,0,0
0,39.103943,3,4,85,44,6,11,10,9,4,0,110.88,57,2,20,4,0,1,0,0,0,1,0,0,0
0,38.101012,3,5,85,44,6,11,10,10,6,0,106.66,57,2,20,4,0,1,0,0,0,1,0,0,0
